No,Name,DexEntry
1,Bulbasaur,AstrangeseedwasplantedonitsbackatbirthTheplantsproutsandgrowswiththisPOKEMON
2,Ivysaur,Whenthebulbonitsbackgrowslargeitappearstolosetheabilitytostandonitshindlegs
3,Venusaur,TheplantbloomswhenitisabsorbingsolarenergyItstaysonthemovetoseeksunlight
4,Charmander,ObviouslyprefershotplacesWhenitrainssteamissaidtospoutfromthetipofitstail
5,Charmeleon,Whenitswingsitsburningtailitelevatesthetemperaturetounbearablyhighlevels
6,Charizard,SpitsfirethatishotenoughtomeltbouldersKnowntocauseforestfiresunintentionally
7,Squirtle,AfterbirthitsbackswellsandhardensintoashellPowerfullyspraysfoamfromitsmouth
8,Wartortle,OftenhidesinwatertostalkunwarypreyForswimmingfastitmovesitsearstomaintainbalance
9,Blastoise,AbrutalPOKEMONwithpressurizedwaterjetsonitsshellTheyareusedforhighspeedtackles
10,Caterpie,Itsshortfeetaretippedwithsuctionpadsthatenableittotirelesslyclimbslopesandwalls
11,Metapod,ThisPOKEMONisvulnerabletoattackwhileitsshellissoftexposingitsweakandtenderbody
12,Butterfree,Inbattleitflapsitswingsathighspeedtoreleasehighlytoxicdustintotheair
13,Weedle,OftenfoundinforestseatingleavesIthasasharpvenomousstingeronitshead
14,Kakuna,AlmostincapableofmovingthisPOKEMONcanonlyhardenitsshelltoprotectitselffrompredators
15,Beedrill,Fliesathighspeedandattacksusingitslargevenomousstingersonitsforelegsandtail
16,Pidgey,AcommonsightinforestsandwoodsItflapsitswingsatgroundleveltokickupblindingsand
17,Pidgeotto,VeryprotectiveofitssprawlingterritorialareathisPOKEMONwillfiercelypeckatanyintruder
18,Pidgeot,WhenhuntingitskimsthesurfaceofwaterathighspeedtopickoffunwarypreysuchasMAGIKARP
19,Rattata,BitesanythingwhenitattacksSmallandveryquickitisacommonsightinmanyplaces
20,Ratciate,ItusesitswhiskerstomaintainitsbalanceItapparentlyslowsdowniftheyarecutoff
